ORDERID,PRODUCTID,CUSTOMERID,EMPLOYEEID,ORDERPERIODID,REQUIREDPERIODID,SHIPPEDPERIODID,SHIPPERID,UNITPRICE,QUANTITY,DISCOUNT,UNITSALES,NETSALES,UNITCOST,COST
761,50,9,9,1595,1608,1595,3,500,303,18,151500,124230,375,113625
766,19,105,15,1598,1611,1598,7,500,22,18,11000,9020,375,8250
774,19,119,29,1613,1626,1613,5,500,24,18,12000,9840,375,9000
775,27,17,17,1604,1617,1604,10,500,28,18,14000,11480,375,10500
775,54,17,17,1604,1617,1604,10,500,205,18,102500,84050,375,76875
784,19,81,21,1604,1617,1604,9,500,39,18,19500,15990,375,14625
794,19,55,25,1611,1624,1611,9,500,34,18,17000,13940,375,12750
797,50,22,22,1610,1623,1618,8,500,205,18,102500,84050,375,76875
800,19,45,15,1605,1618,1605,11,500,20,18,10000,8200,375,7500
804,19,61,1,1611,1624,1611,3,500,47,18,23500,19270,375,17625
806,50,85,25,1618,1631,1618,4,500,297,18,148500,121770,375,111375
814,34,9,9,1605,1618,1605,10,500,118,18,59000,48380,375,44250
814,54,9,9,1605,1618,1605,10,500,314,18,157000,128740,375,117750
817,19,28,28,1605,1618,1605,8,500,33,18,16500,13530,375,12375
819,19,80,20,1619,1632,1619,1,500,33,18,16500,13530,375,12375
829,34,54,24,1613,1626,1613,10,500,79,18,39500,32390,375,29625
835,19,44,14,1607,1620,1607,4,500,32,18,16000,13120,375,12000
842,19,48,18,1624,1637,1624,8,500,20,18,10000,8200,375,7500
843,6,50,20,1608,1621,1616,10,500,54,18,27000,22140,375,20250
843,19,50,20,1608,1621,1616,10,500,22,18,11000,9020,375,8250
843,54,50,20,1608,1621,1616,10,500,102,18,51000,41820,375,38250
847,19,104,14,1609,1622,1609,11,500,25,18,12500,10250,375,9375
848,6,112,22,1607,1620,1607,10,500,74,18,37000,30340,375,27750
861,19,120,30,1619,1632,1619,1,500,47,18,23500,19270,375,17625
862,50,17,17,1624,1637,1632,5,500,210,18,105000,86100,375,78750
871,19,35,5,1616,1629,1616,2,500,68,18,34000,27880,375,25500
876,19,16,16,1619,1632,1627,6,500,23,18,11500,9430,375,8625
891,19,58,28,1630,1643,1635,8,500,36,18,18000,14760,375,13500
892,19,66,6,1618,1631,1618,6,500,19,18,9500,7790,375,7125
895,19,99,9,1614,1627,1614,3,500,20,18,10000,8200,375,7500
900,50,104,14,1625,1638,1629,11,500,289,18,144500,118490,375,108375
901,50,11,11,1646,1659,1646,10,500,338,18,169000,138580,375,126750
902,19,60,30,1646,1659,1646,4,500,26,18,13000,10660,375,9750
903,50,27,27,1625,1638,1629,6,500,363,18,181500,148830,375,136125
911,19,54,24,1622,1635,1622,1,500,21,18,10500,8610,375,7875
914,19,108,18,1633,1646,1635,11,500,26,18,13000,10660,375,9750
924,19,116,26,1629,1642,1635,9,500,42,18,21000,17220,375,15750
941,19,10,10,1636,1649,1636,10,500,20,18,10000,8200,375,7500
942,50,66,6,1628,1641,1629,8,500,209,18,104500,85690,375,78375
945,19,117,27,1637,1650,1637,11,500,30,18,15000,12300,375,11250
946,19,118,28,1643,1656,1645,9,500,43,18,21500,17630,375,16125
948,50,13,13,1632,1645,1632,3,500,315,18,157500,129150,375,118125
951,19,77,17,1634,1647,1636,3,500,25,18,12500,10250,375,9375
957,19,21,21,1628,1641,1636,8,500,21,18,10500,8610,375,7875
965,50,28,28,1645,1658,1645,7,500,413,18,206500,169330,375,154875
976,19,48,18,1641,1654,1645,1,500,22,18,11000,9020,375,8250
989,19,29,29,1646,1659,1646,3,500,24,18,12000,9840,375,9000
14,19,23,23,1471,1484,1471,9,500,27,18,13500,11070,375,10125
16,19,25,25,1470,1483,1470,6,500,29,18,14500,11890,375,10875
31,19,40,10,1470,1483,1470,8,500,23,18,11500,9430,375,8625
43,19,55,25,1481,1494,1481,8,500,29,18,14500,11890,375,10875
46,19,59,29,1465,1478,1465,4,500,27,18,13500,11070,375,10125
52,27,66,6,1468,1481,1468,10,500,50,18,25000,20500,375,18750
53,19,67,7,1478,1491,1478,3,500,30,18,15000,12300,375,11250
56,19,70,10,1470,1483,1470,4,500,33,18,16500,13530,375,12375
71,19,88,28,1468,1481,1468,4,500,23,18,11500,9430,375,8625
79,19,100,10,1474,1487,1474,3,500,27,18,13500,11070,375,10125
84,50,105,15,1467,1480,1467,10,500,295,18,147500,120950,375,110625
85,34,106,16,1478,1491,1478,10,500,93,18,46500,38130,375,34875
94,19,116,26,1479,1492,1479,5,500,33,18,16500,13530,375,12375
101,6,107,17,1480,1493,1480,10,500,52,18,26000,21320,375,19500
107,19,111,21,1487,1500,1487,4,500,34,18,17000,13940,375,12750
115,19,54,24,1485,1498,1485,5,500,21,18,10500,8610,375,7875
139,19,5,5,1478,1491,1478,5,500,53,18,26500,21730,375,19875
140,6,23,23,1495,1508,1495,10,500,136,18,68000,55760,375,51000
145,19,9,9,1486,1499,1486,8,500,24,18,12000,9840,375,9000
188,50,2,2,1489,1502,1489,9,500,420,18,210000,172200,375,157500
190,50,20,20,1489,1502,1489,3,500,295,18,147500,120950,375,110625
199,19,19,19,1489,1502,1489,4,500,24,18,12000,9840,375,9000
201,27,65,5,1503,1516,1511,10,500,112,18,56000,45920,375,42000
202,19,95,5,1491,1504,1491,1,500,54,18,27000,22140,375,20250
210,19,90,30,1500,1513,1500,11,500,27,18,13500,11070,375,10125
225,19,68,8,1497,1510,1497,6,500,31,18,15500,12710,375,11625
226,50,74,14,1491,1504,1491,5,500,300,18,150000,123000,375,112500
228,50,49,19,1491,1504,1491,1,500,340,18,170000,139400,375,127500
231,50,110,20,1491,1504,1491,4,500,292,18,146000,119720,375,109500
232,19,42,12,1509,1522,1517,7,500,26,18,13000,10660,375,9750
236,19,102,12,1504,1517,1512,11,500,36,18,18000,14760,375,13500
240,19,32,2,1511,1524,1518,1,500,46,18,23000,18860,375,17250
257,19,2,2,1508,1521,1516,4,500,41,18,20500,16810,375,15375
263,19,84,24,1505,1518,1513,10,500,34,18,17000,13940,375,12750
263,54,84,24,1505,1518,1513,10,500,367,18,183500,150470,375,137625
268,19,97,7,1514,1527,1521,1,500,30,18,15000,12300,375,11250
270,19,39,9,1500,1513,1508,10,500,25,18,12500,10250,375,9375
271,27,49,19,1500,1513,1508,10,500,52,18,26000,21320,375,19500
3054,38,100,10,1973,1986,1973,5,15,347,18,5205,4268,11,3903
275,19,25,25,1506,1519,1507,5,500,26,18,13000,10660,375,9750
276,54,38,8,1515,1528,1523,10,500,313,18,156500,128330,375,117375
3058,38,99,9,1976,1989,1976,1,15,161,18,2415,1980,11,1811
294,19,57,27,1503,1516,1503,4,500,28,18,14000,11480,375,10500
3062,38,27,27,1970,1983,1970,8,15,273,18,4095,3358,11,3071
3082,38,15,15,1986,1999,1986,3,15,358,18,5370,4403,11,4027
320,50,74,14,1513,1526,1517,7,500,268,18,134000,109880,375,100500
3091,38,3,3,1988,2001,1988,6,15,395,18,5925,4859,11,4443
326,19,68,8,1514,1527,1522,1,500,34,18,17000,13940,375,12750
3104,20,85,25,1975,1988,1975,2,1000,105,18,105000,86100,750,78750
326,50,68,8,1514,1527,1522,1,500,364,18,182000,149240,375,136500
3139,38,27,27,1984,1997,1984,10,15,283,18,4245,3481,11,3183
334,19,79,19,1528,1541,1528,10,500,29,18,14500,11890,375,10875
3142,20,11,11,1977,1990,1977,5,1000,100,18,100000,82000,750,75000
335,19,107,17,1514,1527,1522,2,500,19,18,9500,7790,375,7125
3146,38,41,11,1991,2004,1991,2,15,191,18,2865,2349,11,2148
345,19,65,5,1525,1538,1527,9,500,51,18,25500,20910,375,19125
3148,38,58,28,1987,2000,1987,1,15,488,18,7320,6002,11,5490
349,19,62,2,1530,1543,1530,4,500,57,18,28500,23370,375,21375
3154,38,97,7,1981,1994,1981,11,15,356,18,5340,4379,11,4005
3167,38,72,12,1993,2006,1993,3,15,161,18,2415,1980,11,1811
360,50,95,5,1530,1543,1530,11,500,633,18,316500,259530,375,237375
3174,20,52,22,1993,2006,1993,5,1000,118,18,118000,96760,750,88500
363,19,53,23,1528,1541,1528,1,500,30,18,15000,12300,375,11250
3174,38,52,22,1993,2006,1993,5,15,329,18,4935,4047,11,3701
365,19,59,29,1537,1550,1537,1,500,33,18,16500,13530,375,12375
3175,20,87,27,2001,2014,2001,3,1000,68,18,68000,55760,750,51000
372,19,16,16,1523,1536,1523,5,500,17,18,8500,6970,375,6375
3192,38,92,2,1993,2006,1993,7,15,364,18,5460,4477,11,4095
373,50,26,26,1530,1543,1530,9,500,284,18,142000,116440,375,106500
3211,38,119,29,2005,2018,2005,7,15,302,18,4530,3715,11,3397
388,19,28,28,1539,1552,1539,9,500,25,18,12500,10250,375,9375
3212,38,43,13,2006,2019,2006,1,15,193,18,2895,2374,11,2171
400,19,101,11,1541,1554,1541,4,500,21,18,10500,8610,375,7875
3215,20,69,9,1988,2001,1988,10,1000,71,18,71000,58220,750,53250
409,50,11,11,1531,1544,1531,8,500,253,18,126500,103730,375,94875
3217,20,88,28,2003,2016,2003,6,1000,138,18,138000,113160,750,103500
417,50,102,12,1542,1555,1542,7,500,357,18,178500,146370,375,133875
3231,38,34,4,2004,2017,2004,11,15,471,18,7065,5793,11,5298
3240,38,56,26,2005,2018,2005,2,15,361,18,5415,4440,11,4061
422,19,27,27,1548,1561,1548,8,500,24,18,12000,9840,375,9000
3242,20,7,7,1999,2012,1999,8,1000,118,18,118000,96760,750,88500
427,19,57,27,1544,1557,1544,6,500,31,18,15500,12710,375,11625
3243,20,10,10,1998,2011,1998,11,1000,64,18,64000,52480,750,48000
442,50,49,19,1542,1555,1542,4,500,363,18,181500,148830,375,136125
3246,20,80,20,2000,2013,2000,2,1000,132,18,132000,108240,750,99000
448,19,114,24,1555,1568,1555,3,500,29,18,14500,11890,375,10875
3266,20,76,16,2004,2017,2004,11,1000,91,18,91000,74620,750,68250
448,50,114,24,1555,1568,1555,3,500,322,18,161000,132020,375,120750
3270,38,18,18,2011,2024,2011,2,15,207,18,3105,2546,11,2328
3274,38,68,8,2015,2028,2015,1,15,287,18,4305,3530,11,3228
451,34,13,13,1541,1554,1541,10,500,106,18,53000,43460,375,39750
3277,20,96,6,2015,2028,2015,5,1000,81,18,81000,66420,750,60750
456,50,105,15,1542,1555,1542,2,500,253,18,126500,103730,375,94875
3278,38,100,10,1999,2012,1999,10,15,368,18,5520,4526,11,4140
3280,38,22,22,2009,2022,2009,10,15,182,18,2730,2239,11,2047
469,19,60,30,1552,1565,1552,7,500,21,18,10500,8610,375,7875
3281,20,26,26,2005,2018,2005,8,1000,149,18,149000,122180,750,111750
478,19,79,19,1556,1569,1556,3,500,31,18,15500,12710,375,11625
3283,38,53,23,1999,2012,1999,5,15,301,18,4515,3702,11,3386
487,19,18,18,1562,1575,1562,8,500,19,18,9500,7790,375,7125
3285,20,63,3,2010,2023,2010,4,1000,258,18,258000,211560,750,193500
492,27,112,22,1555,1568,1555,10,500,42,18,21000,17220,375,15750
3288,20,14,14,2012,2025,2012,11,1000,87,18,87000,71340,750,65250
495,19,54,24,1564,1577,1564,5,500,19,18,9500,7790,375,7125
3298,20,78,18,2001,2014,2001,8,1000,52,18,52000,42640,750,39000
3305,20,32,2,2018,2031,2018,8,1000,207,18,207000,169740,750,155250
497,6,23,23,1562,1575,1562,10,500,130,18,65000,53300,375,48750
3307,20,66,6,2008,2021,2008,1,1000,64,18,64000,52480,750,48000
1012,19,27,27,1638,1651,1645,9,500,34,18,17000,13940,375,12750
3309,38,118,28,2012,2025,2012,7,15,492,18,7380,6052,11,5535
1023,50,67,7,1651,1664,1651,9,500,321,18,160500,131610,375,120375
3315,20,28,28,2018,2031,2018,9,1000,160,18,160000,131200,750,120000
1025,19,104,14,1658,1671,1658,10,500,28,18,14000,11480,375,10500
3317,38,55,25,2013,2026,2013,1,15,353,18,5295,4342,11,3971
1030,19,16,16,1642,1655,1642,6,500,22,18,11000,9020,375,8250
3319,20,91,1,2011,2024,2011,10,1000,155,18,155000,127100,750,116250
3321,38,111,21,2007,2020,2007,8,15,145,18,2175,1784,11,1631
1031,19,58,28,1644,1657,1644,7,500,37,18,18500,15170,375,13875
3326,20,7,7,2024,2037,2024,11,1000,122,18,122000,100040,750,91500
1032,50,81,21,1651,1664,1651,11,500,482,18,241000,197620,375,180750
3342,20,78,18,2008,2021,2008,3,1000,54,18,54000,44280,750,40500
1040,27,80,20,1645,1658,1645,10,500,54,18,27000,22140,375,20250
3343,38,87,27,2009,2022,2009,1,15,196,18,2940,2411,11,2205
1046,19,18,18,1662,1675,1662,6,500,19,18,9500,7790,375,7125
3345,38,103,13,2023,2036,2023,1,15,368,18,5520,4526,11,4140
3346,38,5,5,2009,2022,2009,3,15,724,18,10860,8905,11,8145
1049,50,101,11,1651,1664,1651,9,500,324,18,162000,132840,375,121500
3347,20,19,19,2018,2031,2018,2,1000,132,18,132000,108240,750,99000
1050,50,110,20,1644,1657,1645,2,500,373,18,186500,152930,375,139875
3351,20,86,26,2025,2038,2025,9,1000,178,18,178000,145960,750,133500
1055,6,55,25,1659,1672,1659,10,500,99,18,49500,40590,375,37125
3355,38,30,30,2022,2035,2022,2,15,451,18,6765,5547,11,5073
1057,19,73,13,1652,1665,1660,5,500,29,18,14500,11890,375,10875
1059,19,78,18,1661,1674,1669,10,500,24,18,12000,9840,375,9000
3357,38,46,16,2023,2036,2023,4,15,291,18,4365,3579,11,3273
3358,20,88,28,2011,2024,2011,11,1000,147,18,147000,120540,750,110250
1060,54,89,29,1646,1659,1646,10,500,304,18,152000,124640,375,114000
3362,20,39,9,2010,2023,2010,2,1000,111,18,111000,91020,750,83250
1068,54,93,3,1665,1678,1665,10,500,813,18,406500,333330,375,304875
3364,20,74,14,2018,2031,2018,5,1000,134,18,134000,109880,750,100500
1100,19,38,8,1661,1674,1661,9,500,28,18,14000,11480,375,10500
3370,20,42,12,2016,2029,2016,11,1000,134,18,134000,109880,750,100500
3378,38,23,23,2025,2038,2025,7,15,364,18,5460,4477,11,4095
1110,19,115,25,1665,1678,1665,11,500,23,18,11500,9430,375,8625
3382,20,83,23,2024,2037,2024,10,1000,73,18,73000,59860,750,54750
1112,19,74,14,1656,1669,1656,10,500,39,18,19500,15990,375,14625
3382,38,83,23,2024,2037,2024,10,15,200,18,3000,2460,11,2250
3387,20,65,5,2017,2030,2017,7,1000,249,18,249000,204180,750,186750
1113,19,120,30,1669,1682,1669,4,500,56,18,28000,22960,375,21000
3387,38,65,5,2017,2030,2017,7,15,673,18,10095,8278,11,7571
1114,6,8,8,1670,1683,1670,10,500,59,18,29500,24190,375,22125
3391,38,113,23,2026,2039,2032,9,15,229,18,3435,2817,11,2576
1121,50,95,5,1656,1669,1658,3,500,807,18,403500,330870,375,302625
3401,20,16,16,2019,2032,2019,1,1000,83,18,83000,68060,750,62250
1125,19,52,22,1665,1678,1665,10,500,29,18,14500,11890,375,10875
3412,20,39,9,2028,2041,2028,11,1000,115,18,115000,94300,750,86250
1127,19,81,21,1676,1689,1676,7,500,46,18,23000,18860,375,17250
3903,38,41,11,2102,2115,2102,3,15,256,18,3840,3149,11,2880
3908,38,91,1,2089,2102,2089,5,15,404,18,6060,4969,11,4545
1131,34,16,16,1669,1682,1669,10,500,97,18,48500,39770,375,36375
3910,20,108,18,2101,2114,2101,8,1000,123,18,123000,100860,750,92250
1136,19,97,7,1658,1671,1662,7,500,45,18,22500,18450,375,16875
3921,38,61,1,2100,2113,2100,3,15,590,18,8850,7257,11,6637
1140,54,75,15,1667,1680,1667,10,500,537,18,268500,220170,375,201375
3927,38,84,24,2109,2122,2109,5,15,129,18,1935,1587,11,1451
1142,19,106,16,1677,1690,1677,9,500,34,18,17000,13940,375,12750
3935,20,11,11,2105,2118,2105,2,1000,127,18,127000,104140,750,95250
3939,20,100,10,2103,2116,2103,4,1000,140,18,140000,114800,750,105000
1147,50,116,26,1679,1692,1679,6,500,497,18,248500,203770,375,186375
3947,20,12,12,2110,2123,2111,1,1000,107,18,107000,87740,750,80250
1149,19,11,11,1679,1692,1679,6,500,27,18,13500,11070,375,10125
3972,20,113,23,2112,2125,2112,10,1000,104,18,104000,85280,750,78000
1154,19,74,14,1663,1676,1663,9,500,40,18,20000,16400,375,15000
3977,20,37,7,2113,2126,2113,6,1000,140,18,140000,114800,750,105000
1167,19,29,29,1679,1692,1679,10,500,27,18,13500,11070,375,10125
3982,20,30,30,2100,2113,2100,2,1000,181,18,181000,148420,750,135750
1185,19,18,18,1675,1688,1675,5,500,19,18,9500,7790,375,7125
3983,38,78,18,2108,2121,2108,8,15,176,18,2640,2165,11,1980
1188,19,59,29,1679,1692,1679,10,500,42,18,21000,17220,375,15750
3986,20,10,10,2111,2124,2111,9,1000,64,18,64000,52480,750,48000
1190,6,84,24,1675,1688,1675,10,500,85,18,42500,34850,375,31875
4000,38,68,8,2121,2134,2121,5,15,329,18,4935,4047,11,3701
4007,20,23,23,2113,2126,2113,3,1000,142,18,142000,116440,750,106500
1200,19,86,26,1679,1692,1679,7,500,46,18,23000,18860,375,17250
4010,20,56,26,2104,2117,2104,8,1000,158,18,158000,129560,750,118500
1207,6,101,11,1679,1692,1679,10,500,78,18,39000,31980,375,29250
4013,38,19,19,2109,2122,2109,2,15,346,18,5190,4256,11,3892
1214,19,75,15,1678,1691,1678,8,500,51,18,25500,20910,375,19125
4017,38,76,16,2116,2129,2116,3,15,297,18,4455,3653,11,3341
1216,50,13,13,1679,1692,1679,8,500,359,18,179500,147190,375,134625
4023,20,30,30,2121,2134,2121,1,1000,192,18,192000,157440,750,144000
1224,19,2,2,1688,1701,1688,7,500,48,18,24000,19680,375,18000
4024,20,59,29,2109,2122,2109,7,1000,183,18,183000,150060,750,137250
4024,38,59,29,2109,2122,2109,7,15,457,18,6855,5621,11,5141
1234,50,99,9,1690,1703,1690,10,500,210,18,105000,86100,375,78750
4030,38,32,2,2126,2139,2126,5,15,623,18,9345,7663,11,7008
1240,19,65,5,1682,1695,1682,10,500,77,18,38500,31570,375,28875
4044,38,66,6,2128,2141,2128,7,15,211,18,3165,2595,11,2373
1241,19,77,17,1690,1703,1690,3,500,27,18,13500,11070,375,10125
4053,20,119,29,2111,2124,2111,3,1000,169,18,169000,138580,750,126750
4055,38,28,28,2125,2138,2125,11,15,467,18,7005,5744,11,5253
1244,19,35,5,1680,1693,1680,4,500,87,18,43500,35670,375,32625
4056,20,53,23,2117,2130,2117,10,1000,88,18,88000,72160,750,66000
1249,54,102,12,1690,1703,1690,10,500,445,18,222500,182450,375,166875
4057,20,63,3,2129,2142,2129,5,1000,284,18,284000,232880,750,213000
1252,19,70,10,1686,1699,1686,4,500,26,18,13000,10660,375,9750
4072,20,103,13,2121,2134,2121,4,1000,142,18,142000,116440,750,106500
4086,20,86,26,2118,2131,2118,8,1000,200,18,200000,164000,750,150000
1255,19,38,8,1697,1710,1697,4,500,31,18,15500,12710,375,11625
4093,20,88,28,2134,2147,2134,6,1000,151,18,151000,123820,750,113250
1263,19,18,18,1694,1707,1694,9,500,21,18,10500,8610,375,7875
4099,38,12,12,2123,2136,2123,11,15,279,18,4185,3432,11,3138
1278,19,118,28,1685,1698,1685,5,500,52,18,26000,21320,375,19500
4117,20,39,9,2121,2134,2121,10,1000,127,18,127000,104140,750,95250
1291,19,11,11,1697,1710,1697,3,500,29,18,14500,11890,375,10875
4117,38,39,9,2121,2134,2121,10,15,316,18,4740,3887,11,3555
4127,20,16,16,2130,2143,2130,3,1000,83,18,83000,68060,750,62250
1296,19,59,29,1701,1714,1701,5,500,45,18,22500,18450,375,16875
4132,38,89,29,2133,2146,2133,10,15,477,18,7155,5867,11,5366
1300,54,35,5,1702,1715,1702,10,500,963,18,481500,394830,375,361125
4135,20,116,26,2129,2142,2129,5,1000,200,18,200000,164000,750,150000
4145,38,21,21,2125,2138,2125,11,15,198,18,2970,2435,11,2227
1301,19,71,11,1689,1702,1697,9,500,50,18,25000,20500,375,18750
4150,38,74,14,2125,2138,2125,4,15,352,18,5280,4330,11,3960
1302,34,101,11,1705,1718,1705,10,500,127,18,63500,52070,375,47625
4153,38,115,25,2135,2148,2135,11,15,288,18,4320,3542,11,3240
1304,19,12,12,1699,1712,1699,10,500,31,18,15500,12710,375,11625
4155,20,37,7,2143,2156,2143,4,1000,134,18,134000,109880,750,100500
1307,19,30,30,1688,1701,1688,11,500,29,18,14500,11890,375,10875
4161,20,51,21,2135,2148,2135,10,1000,67,18,67000,54940,750,50250
1332,34,9,9,1698,1711,1706,10,500,114,18,57000,46740,375,42750
4166,20,30,30,2134,2147,2134,6,1000,182,18,182000,149240,750,136500
1335,19,70,10,1707,1720,1712,11,500,25,18,12500,10250,375,9375
4172,38,103,13,2142,2155,2142,3,15,352,18,5280,4330,11,3960
1338,19,74,14,1704,1717,1704,7,500,47,18,23500,19270,375,17625
4176,38,42,12,2142,2155,2142,11,15,300,18,4500,3690,11,3375
4177,20,105,15,2133,2146,2133,8,1000,142,18,142000,116440,750,106500
1352,19,117,27,1698,1711,1698,8,500,35,18,17500,14350,375,13125
4197,38,28,28,2143,2156,2143,3,15,485,18,7275,5966,11,5456
1360,19,23,23,1707,1720,1707,9,500,37,18,18500,15170,375,13875
4200,38,67,7,2149,2162,2149,7,15,352,18,5280,4330,11,3960
1362,19,61,1,1712,1725,1712,8,500,46,18,23000,18860,375,17250
4210,20,33,3,2148,2161,2148,3,1000,177,18,177000,145140,750,132750
1362,50,61,1,1712,1725,1712,8,500,493,18,246500,202130,375,184875
4231,38,95,5,2147,2160,2147,11,15,692,18,10380,8512,11,7785
4236,38,50,20,2136,2149,2136,7,15,215,18,3225,2645,11,2418
1363,19,69,9,1700,1713,1706,1,500,20,18,10000,8200,375,7500
4240,38,116,26,2153,2166,2153,1,15,475,18,7125,5843,11,5343
1367,50,120,30,1715,1728,1715,10,500,674,18,337000,276340,375,252750
4244,20,34,4,2153,2166,2153,8,1000,136,18,136000,111520,750,102000
4251,38,96,6,2139,2152,2139,9,15,318,18,4770,3911,11,3577
1367,54,120,30,1715,1728,1715,10,500,674,18,337000,276340,375,252750
4262,20,105,15,2144,2157,2147,9,1000,136,18,136000,111520,750,102000
1371,19,18,18,1713,1726,1713,1,500,22,18,11000,9020,375,8250
4277,20,75,15,2144,2157,2144,6,1000,144,18,144000,118080,750,108000
1373,34,53,23,1714,1727,1714,10,500,178,18,89000,72980,375,66750
4299,38,49,19,2163,2176,2163,11,15,344,18,5160,4231,11,3870
1381,19,29,29,1713,1726,1713,1,500,28,18,14000,11480,375,10500
4316,38,7,7,2163,2176,2163,9,15,344,18,5160,4231,11,3870
4326,20,75,15,2150,2163,2150,11,1000,144,18,144000,118080,750,108000
1388,19,89,29,1720,1733,1720,11,500,36,18,18000,14760,375,13500
4327,20,77,17,2157,2170,2157,4,1000,95,18,95000,77900,750,71250
1396,6,44,14,1717,1730,1717,10,500,98,18,49000,40180,375,36750
4329,38,102,12,2166,2179,2166,8,15,326,18,4890,4010,11,3667
1398,19,56,26,1719,1732,1719,3,500,25,18,12500,10250,375,9375
4333,20,9,9,2170,2183,2170,10,1000,69,18,69000,56580,750,51750
1399,19,71,11,1711,1724,1711,5,500,43,18,21500,17630,375,16125
4335,38,26,26,2170,2183,2170,7,15,495,18,7425,6089,11,5568
4340,38,68,8,2159,2172,2159,2,15,344,18,5160,4231,11,3870
1403,19,31,1,1711,1724,1711,5,500,41,18,20500,16810,375,15375
4344,38,39,9,2162,2175,2162,3,15,333,18,4995,4096,11,3746
1411,19,92,2,1714,1727,1714,4,500,43,18,21500,17630,375,16125
4348,38,88,28,2163,2176,2163,5,15,407,18,6105,5006,11,4578
1412,50,95,5,1709,1722,1712,1,500,844,18,422000,346040,375,316500
4354,38,84,24,2164,2177,2164,7,15,142,18,2130,1747,11,1597
1434,19,119,29,1718,1731,1718,6,500,32,18,16000,13120,375,12000
